ibge_code,city,state_uf,state_name,city_search
1303957,São Sebastião do Uatumã,AM,Amazonas,sao sebastiao do uatuma
1304005,Silves,AM,Amazonas,silves
1304062,Tabatinga,AM,Amazonas,tabatinga
1304104,Tapauá,AM,Amazonas,tapaua
1304203,Tefé,AM,Amazonas,tefe
1304237,Tonantins,AM,Amazonas,tonantins
1304260,Uarini,AM,Amazonas,uarini
1304302,Urucará,AM,Amazonas,urucara
1304401,Urucurituba,AM,Amazonas,urucurituba
1600105,Amapá,AP,Amapá,amapa
1600204,Calçoene,AP,Amapá,calcoene
1600212,Cutias,AP,Amapá,cutias
1600238,Ferreira Gomes,AP,Amapá,ferreira gomes
1600253,Itaubal,AP,Amapá,itaubal
1600279,Laranjal do Jari,AP,Amapá,laranjal do jari
1600303,Macapá,AP,Amapá,macapa
1600402,Mazagão,AP,Amapá,mazagao
1600501,Oiapoque,AP,Amapá,oiapoque
1600154,Pedra Branca do Amapari,AP,Amapá,pedra branca do amapari
1600535,Porto Grande,AP,Amapá,porto grande
1600550,Pracuúba,AP,Amapá,pracuuba
1600600,Santana,AP,Amapá,santana
1600055,Serra do Navio,AP,Amapá,serra do navio
1600709,Tartarugalzinho,AP,Amapá,tartarugalzinho
1600808,Vitória do Jari,AP,Amapá,vitoria do jari
2900108,Abaíra,BA,Bahia,abaira
2900207,Abaré,BA,Bahia,abare
2900306,Acajutiba,BA,Bahia,acajutiba
2900355,Adustina,BA,Bahia,adustina
2900405,Água Fria,BA,Bahia,agua fria
2900603,Aiquara,BA,Bahia,aiquara
2900702,Alagoinhas,BA,Bahia,alagoinhas
2900801,Alcobaça,BA,Bahia,alcobaca
2900900,Almadina,BA,Bahia,almadina
2901007,Amargosa,BA,Bahia,amargosa
2901106,Amélia Rodrigues,BA,Bahia,amelia rodrigues
2901155,América Dourada,BA,Bahia,america dourada
2901205,Anagé,BA,Bahia,anage
2901304,Andaraí,BA,Bahia,andarai
2901353,Andorinha,BA,Bahia,andorinha
2901403,Angical,BA,Bahia,angical
2901502,Anguera,BA,Bahia,anguera
2901601,Antas,BA,Bahia,antas
2901700,Antônio Cardoso,BA,Bahia,antonio cardoso
2901809,Antônio Gonçalves,BA,Bahia,antonio goncalves
2901908,Aporá,BA,Bahia,apora
2901957,Apuarema,BA,Bahia,apuarema
2902054,Araçás,BA,Bahia,aracas
2902005,Aracatu,BA,Bahia,aracatu
2902104,Araci,BA,Bahia,araci
2902203,Aramari,BA,Bahia,aramari
2902252,Arataca,BA,Bahia,arataca
2902302,Aratuípe,BA,Bahia,aratuipe
2902401,Aurelino Leal,BA,Bahia,aurelino leal
2902500,Baianópolis,BA,Bahia,baianopolis
2902609,Baixa Grande,BA,Bahia,baixa grande
2902658,Banzaê,BA,Bahia,banzae
2902708,Barra,BA,Bahia,barra
2902807,Barra da Estiva,BA,Bahia,barra da estiva
2902906,Barra do Choça,BA,Bahia,barra do choca
2903003,Barra do Mendes,BA,Bahia,barra do mendes
2903102,Barra do Rocha,BA,Bahia,barra do rocha
2903201,Barreiras,BA,Bahia,barreiras
2903235,Barro Alto,BA,Bahia,barro alto
2903300,Barro Preto,BA,Bahia,barro preto
2903276,Barrocas,BA,Bahia,barrocas
2903409,Belmonte,BA,Bahia,belmonte
2903508,Belo Campo,BA,Bahia,belo campo
2903607,Biritinga,BA,Bahia,biritinga
2903706,Boa Nova,BA,Bahia,boa nova
2903805,Boa Vista do Tupim,BA,Bahia,boa vista do tupim
2903904,Bom Jesus da Lapa,BA,Bahia,bom jesus da lapa
2903953,Bom Jesus da Serra,BA,Bahia,bom jesus da serra
2904001,Boninal,BA,Bahia,boninal
2904050,Bonito,BA,Bahia,bonito
2904100,Boquira,BA,Bahia,boquira
2904209,Botuporã,BA,Bahia,botupora
2904308,Brejões,BA,Bahia,brejoes
2904407,Brejolândia,BA,Bahia,brejolandia
2904506,Brotas de Macaúbas,BA,Bahia,brotas de macaubas
2904605,Brumado,BA,Bahia,brumado
2904704,Buerarema,BA,Bahia,buerarema
2904753,Buritirama,BA,Bahia,buritirama
2904803,Caatiba,BA,Bahia,caatiba
2904852,Cabaceiras do Paraguaçu,BA,Bahia,cabaceiras do paraguacu
2904902,Cachoeira,BA,Bahia,cachoeira
2905008,Caculé,BA,Bahia,cacule
2905107,Caém,BA,Bahia,caem
2905156,Caetanos,BA,Bahia,caetanos
2905206,Caetité,BA,Bahia,caetite
2905305,Cafarnaum,BA,Bahia,cafarnaum
2905404,Cairu,BA,Bahia,cairu
2905503,Caldeirão Grande,BA,Bahia,caldeirao grande
2905602,Camacan,BA,Bahia,camacan
2905701,Camaçari,BA,Bahia,camacari
2905800,Camamu,BA,Bahia,camamu
2905909,Campo Alegre de Lourdes,BA,Bahia,campo alegre de lourdes
2906006,Campo Formoso,BA,Bahia,campo formoso
2906105,Canápolis,BA,Bahia,canapolis
2906204,Canarana,BA,Bahia,canarana
2906303,Canavieiras,BA,Bahia,canavieiras
2906402,Candeal,BA,Bahia,candeal
2906501,Candeias,BA,Bahia,candeias
2906600,Candiba,BA,Bahia,candiba
2906709,Cândido Sales,BA,Bahia,candido sales
2906808,Cansanção,BA,Bahia,cansancao
2906824,Canudos,BA,Bahia,canudos
2906857,Capela do Alto Alegre,BA,Bahia,capela do alto alegre
2906873,Capim Grosso,BA,Bahia,capim grosso
2906899,Caraíbas,BA,Bahia,caraibas
2906907,Caravelas,BA,Bahia,caravelas
2907004,Cardeal da Silva,BA,Bahia,cardeal da silva
2907103,Carinhanha,BA,Bahia,carinhanha
2907202,Casa Nova,BA,Bahia,casa nova
2907301,Castro Alves,BA,Bahia,castro alves
2907400,Catolândia,BA,Bahia,catolandia
2907509,Catu,BA,Bahia,catu
2907558,Caturama,BA,Bahia,caturama
2907608,Central,BA,Bahia,central
2907707,Chorrochó,BA,Bahia,chorrocho
2907806,Cícero Dantas,BA,Bahia,cicero dantas
2907905,Cipó,BA,Bahia,cipo
2908002,Coaraci,BA,Bahia,coaraci
2908101,Cocos,BA,Bahia,cocos
2908200,Conceição da Feira,BA,Bahia,conceicao da feira
2908309,Conceição do Almeida,BA,Bahia,conceicao do almeida
2908408,Conceição do Coité,BA,Bahia,conceicao do coite
2908507,Conceição do Jacuípe,BA,Bahia,conceicao do jacuipe
2908606,Conde,BA,Bahia,conde
2908705,Condeúba,BA,Bahia,condeuba
2908804,Contendas do Sincorá,BA,Bahia,contendas do sincora
2908903,Coração de Maria,BA,Bahia,coracao de maria
2909000,Cordeiros,BA,Bahia,cordeiros
2909109,Coribe,BA,Bahia,coribe
2909208,Coronel João Sá,BA,Bahia,coronel joao sa
2909307,Correntina,BA,Bahia,correntina
2909406,Cotegipe,BA,Bahia,cotegipe
2909505,Cravolândia,BA,Bahia,cravolandia
2909604,Crisópolis,BA,Bahia,crisopolis
2909703,Cristópolis,BA,Bahia,cristopolis
2909802,Cruz das Almas,BA,Bahia,cruz das almas
2909901,Curaçá,BA,Bahia,curaca
2910008,Dário Meira,BA,Bahia,dario meira
2910057,Dias d'Ávila,BA,Bahia,dias d'avila
2910107,Dom Basílio,BA,Bahia,dom basilio
2910206,Dom Macedo Costa,BA,Bahia,dom macedo costa
2910305,Elísio Medrado,BA,Bahia,elisio medrado
2910404,Encruzilhada,BA,Bahia,encruzilhada
2910503,Entre Rios,BA,Bahia,entre rios
2900504,Érico Cardoso,BA,Bahia,erico cardoso
2910602,Esplanada,BA,Bahia,esplanada
2910701,Euclides da Cunha,BA,Bahia,euclides da cunha
2910727,Eunápolis,BA,Bahia,eunapolis
2910750,Fátima,BA,Bahia,fatima
2910776,Feira da Mata,BA,Bahia,feira da mata
2910800,Feira de Santana,BA,Bahia,feira de santana
2910859,Filadélfia,BA,Bahia,filadelfia
2910909,Firmino Alves,BA,Bahia,firmino alves
2911006,Floresta Azul,BA,Bahia,floresta azul
2911105,Formosa do Rio Preto,BA,Bahia,formosa do rio preto
2911204,Gandu,BA,Bahia,gandu
2911253,Gavião,BA,Bahia,gaviao
2911303,Gentio do Ouro,BA,Bahia,gentio do ouro
2911402,Glória,BA,Bahia,gloria
2911501,Gongogi,BA,Bahia,gongogi
2911600,Governador Mangabeira,BA,Bahia,governador mangabeira
2911659,Guajeru,BA,Bahia,guajeru
2911709,Guanambi,BA,Bahia,guanambi
2911808,Guaratinga,BA,Bahia,guaratinga
2911857,Heliópolis,BA,Bahia,heliopolis
2911907,Iaçu,BA,Bahia,iacu
2912004,Ibiassucê,BA,Bahia,ibiassuce
2912103,Ibicaraí,BA,Bahia,ibicarai
2912202,Ibicoara,BA,Bahia,ibicoara
2912301,Ibicuí,BA,Bahia,ibicui
2912400,Ibipeba,BA,Bahia,ibipeba
2912509,Ibipitanga,BA,Bahia,ibipitanga
2912608,Ibiquera,BA,Bahia,ibiquera
2912707,Ibirapitanga,BA,Bahia,ibirapitanga
2912806,Ibirapuã,BA,Bahia,ibirapua
2912905,Ibirataia,BA,Bahia,ibirataia
2913002,Ibitiara,BA,Bahia,ibitiara
2913101,Ibititá,BA,Bahia,ibitita
2913200,Ibotirama,BA,Bahia,ibotirama
2913309,Ichu,BA,Bahia,ichu
2913408,Igaporã,BA,Bahia,igapora
2913457,Igrapiúna,BA,Bahia,igrapiuna
2913507,Iguaí,BA,Bahia,iguai
2913606,Ilhéus,BA,Bahia,ilheus
2913705,Inhambupe,BA,Bahia,inhambupe
2913804,Ipecaetá,BA,Bahia,ipecaeta
2913903,Ipiaú,BA,Bahia,ipiau
2914000,Ipirá,BA,Bahia,ipira
2914109,Ipupiara,BA,Bahia,ipupiara
2914208,Irajuba,BA,Bahia,irajuba
2914307,Iramaia,BA,Bahia,iramaia
2914406,Iraquara,BA,Bahia,iraquara
2914505,Irará,BA,Bahia,irara
2914604,Irecê,BA,Bahia,irece
2914653,Itabela,BA,Bahia,itabela
2914703,Itaberaba,BA,Bahia,itaberaba
2914802,Itabuna,BA,Bahia,itabuna
2914901,Itacaré,BA,Bahia,itacare
2915007,Itaeté,BA,Bahia,itaete
2915106,Itagi,BA,Bahia,itagi
2915205,Itagibá,BA,Bahia,itagiba
2915304,Itagimirim,BA,Bahia,itagimirim
2915353,Itaguaçu da Bahia,BA,Bahia,itaguacu da bahia
2915403,Itaju do Colônia,BA,Bahia,itaju do colonia
2915502,Itajuípe,BA,Bahia,itajuipe
2915601,Itamaraju,BA,Bahia,itamaraju
2915700,Itamari,BA,Bahia,itamari
2915809,Itambé,BA,Bahia,itambe
2915908,Itanagra,BA,Bahia,itanagra
2916005,Itanhém,BA,Bahia,itanhem
2916104,Itaparica,BA,Bahia,itaparica
2916203,Itapé,BA,Bahia,itape
2916302,Itapebi,BA,Bahia,itapebi
2916401,Itapetinga,BA,Bahia,itapetinga
2916500,Itapicuru,BA,Bahia,itapicuru
2916609,Itapitanga,BA,Bahia,itapitanga
2916708,Itaquara,BA,Bahia,itaquara
2916807,Itarantim,BA,Bahia,itarantim
2916856,Itatim,BA,Bahia,itatim
2916906,Itiruçu,BA,Bahia,itirucu
2917003,Itiúba,BA,Bahia,itiuba
2917102,Itororó,BA,Bahia,itororo
2917201,Ituaçu,BA,Bahia,ituacu
2917300,Ituberá,BA,Bahia,itubera
2917334,Iuiu,BA,Bahia,iuiu
2917359,Jaborandi,BA,Bahia,jaborandi
2917409,Jacaraci,BA,Bahia,jacaraci
2917508,Jacobina,BA,Bahia,jacobina
2917607,Jaguaquara,BA,Bahia,jaguaquara
2917706,Jaguarari,BA,Bahia,jaguarari
2917805,Jaguaripe,BA,Bahia,jaguaripe
2917904,Jandaíra,BA,Bahia,jandaira
2918001,Jequié,BA,Bahia,jequie
2918100,Jeremoabo,BA,Bahia,jeremoabo
2918209,Jiquiriçá,BA,Bahia,jiquirica
2918308,Jitaúna,BA,Bahia,jitauna
2918357,João Dourado,BA,Bahia,joao dourado
2918407,Juazeiro,BA,Bahia,juazeiro
2918456,Jucuruçu,BA,Bahia,jucurucu
2918506,Jussara,BA,Bahia,jussara
2918555,Jussari,BA,Bahia,jussari
2918605,Jussiape,BA,Bahia,jussiape
2918704,Lafaiete Coutinho,BA,Bahia,lafaiete coutinho
2918753,Lagoa Real,BA,Bahia,lagoa real
2918803,Laje,BA,Bahia,laje
2918902,Lajedão,BA,Bahia,lajedao
2919009,Lajedinho,BA,Bahia,lajedinho
2919058,Lajedo do Tabocal,BA,Bahia,lajedo do tabocal
2919108,Lamarão,BA,Bahia,lamarao
2919157,Lapão,BA,Bahia,lapao
2919207,Lauro de Freitas,BA,Bahia,lauro de freitas
2919306,Lençóis,BA,Bahia,lencois
2919405,Licínio de Almeida,BA,Bahia,licinio de almeida
2919504,Livramento de Nossa Senhora,BA,Bahia,livramento de nossa senhora
2919553,Luís Eduardo Magalhães,BA,Bahia,luis eduardo magalhaes
2919603,Macajuba,BA,Bahia,macajuba
2919702,Macarani,BA,Bahia,macarani
2919801,Macaúbas,BA,Bahia,macaubas
2919900,Macururé,BA,Bahia,macurure
2919926,Madre de Deus,BA,Bahia,madre de deus
2919959,Maetinga,BA,Bahia,maetinga
2920007,Maiquinique,BA,Bahia,maiquinique
2920106,Mairi,BA,Bahia,mairi
2920205,Malhada,BA,Bahia,malhada
2920304,Malhada de Pedras,BA,Bahia,malhada de pedras
2920403,Manoel Vitorino,BA,Bahia,manoel vitorino
2920452,Mansidão,BA,Bahia,mansidao
2920502,Maracás,BA,Bahia,maracas
2920601,Maragogipe,BA,Bahia,maragogipe
2920700,Maraú,BA,Bahia,marau
2920809,Marcionílio Souza,BA,Bahia,marcionilio souza
2920908,Mascote,BA,Bahia,mascote
2921005,Mata de São João,BA,Bahia,mata de sao joao
2921054,Matina,BA,Bahia,matina
2921104,Medeiros Neto,BA,Bahia,medeiros neto
2921203,Miguel Calmon,BA,Bahia,miguel calmon
2921302,Milagres,BA,Bahia,milagres
2921401,Mirangaba,BA,Bahia,mirangaba
2921450,Mirante,BA,Bahia,mirante
2921500,Monte Santo,BA,Bahia,monte santo
2921609,Morpará,BA,Bahia,morpara
2921708,Morro do Chapéu,BA,Bahia,morro do chapeu
2921807,Mortugaba,BA,Bahia,mortugaba
2921906,Mucugê,BA,Bahia,mucuge
2922003,Mucuri,BA,Bahia,mucuri
2922052,Mulungu do Morro,BA,Bahia,mulungu do morro
2922102,Mundo Novo,BA,Bahia,mundo novo
2922201,Muniz Ferreira,BA,Bahia,muniz ferreira
2922250,Muquém do São Francisco,BA,Bahia,muquem do sao francisco
2922300,Muritiba,BA,Bahia,muritiba
2922409,Mutuípe,BA,Bahia,mutuipe
2922508,Nazaré,BA,Bahia,nazare
2922607,Nilo Peçanha,BA,Bahia,nilo pecanha
2922656,Nordestina,BA,Bahia,nordestina
2922706,Nova Canaã,BA,Bahia,nova canaa
2922730,Nova Fátima,BA,Bahia,nova fatima
